,反油酸乙酯,乙酸辛酯,2-甲基-2-苯乙酯丙酸,己酸-2-苯乙酯,异丁醛,己酸,亚油酸乙酯,"2,6-二叔丁基-4-甲基苯酚",植物酮,2-十五烷酮,9-十六碳烯酸乙酯,3-甲基丁酸辛酯,(3Z)-3-癸烯-1-醇乙酸酯,己酸异戊酯,十一醇,庚酸,乙酸正丙酯,乙醛,L(-)-乳酸乙酯,丁酸,丁二酸二乙酯,1-亚甲基-1H-茚,苯丙酸乙酯,辛酸,乙酸2-苯乙酯,3-己烯酸乙酯,对甲酚,己酸糠酯,十五酸乙酯,"2,4-二叔丁基苯酚",糠醛,十六酸乙酯,醋酸,辛酸辛酯,苯乙醛，二乙基乙醛,己醛,S-甲基丁酸酯,辛酸己酯,辛酸丁酯,十四酸乙酯,Group
s3t21,8.132126763,0,0,7.684469359,0,8.699306264,8.14906606,0,7.314238085,7.405518256,8.006070123,0,0,8.855639867,7.086103475,6.810832745,0,0,7.929294357,7.714194598,0,6.950299067,8.280097992,0,0,6.471656357,7.193271576,0,7.824776365,7.416606432,8.954426025,9.261606982,8.062744029,7.012018407,7.566152311,6.66000459,0,8.590975313,7.915390081,8.681485934,21
s4t21,6.995815673,0,0,7.696441035,0,8.994972645,6.931672373,0,6.549789442,6.708068335,6.799027276,0,0,9.016836373,7.068559348,6.894930321,0,0,7.752016416,7.544791195,0,6.579358087,7.828542373,0,0,6.737516529,7.44824588,0,6.75272684,8.957841537,7.415890126,7.993811917,7.87997974,6.886507763,7.481191746,6.697622937,0,8.680246956,8.056866438,7.650247658,21
s5t21,7.038215853,0,0,7.249463251,0,8.497383953,6.227167916,0,6.629481267,6.865182503,6.518923927,0,0,8.448987163,7.133045914,0,0,0,7.540390749,7.315413844,0,6.542649362,7.629686627,0,0,6.879984442,6.887215346,0,7.120015166,9.197598172,7.718628806,8.07871836,7.57408113,6.383653854,7.677528304,6.624438123,0,7.843759146,7.293681295,7.688208009,21
s6t21,7.51366008,0,0,7.439091775,0,8.604604803,7.78756739,0,6.967385359,6.995501761,7.564574334,0,0,8.534895299,7.339103546,0,0,0,7.665874053,7.538011764,0,6.580548062,7.831477099,0,0,7.112805667,6.901999614,0,7.19906134,8.984650494,7.95177642,8.591826637,7.995186821,6.595806849,7.658318232,6.329164325,0,7.985127903,7.40063688,7.958090547,21
s7t21,7.333525949,0,0,7.574076809,0,8.78098373,6.35533746,0,6.86570313,6.829449199,7.166475259,0,0,8.120717717,7.457303989,0,0,0,7.859189681,7.625324283,0,6.19003991,7.910808336,0,0,6.649710629,6.982969473,0,7.182868568,8.875281499,8.383872273,8.22411152,7.967911677,6.23724013,7.589389562,6.597994346,0,7.480049907,6.812281826,7.718226445,21
s1t24,8.041922001,7.327403889,0,7.711272067,0,9.238100168,8.017385946,0,7.076319625,7.356121484,7.683800458,0,0,9.60960468,7.016799377,7.655613203,0,7.164963501,7.770126325,7.571213736,0,7.6046111,8.141775509,7.940504999,0,6.988902352,0,7.669452878,7.395919502,7.007953941,8.656005816,9.035092885,7.492618382,7.541880233,7.685129475,0,0,8.975848272,8.709123,8.40879518,24
s2t24,8.324799312,7.340021013,0,7.855682154,0,9.194178671,8.346884554,0,7.256359025,7.425427539,7.418583855,0,0,9.571987711,7.028549691,7.57254999,0,7.175246391,7.732534998,7.562486193,0,7.613205859,8.106099733,7.969828779,0,7.108724505,0,7.667392476,7.600317758,6.6244367,8.620224146,9.290338431,7.486806684,7.824995766,7.72617194,0,0,9.100397559,8.783771921,8.537700905,24
s3t24,8.31127585,7.168048285,0,7.84026295,0,9.103809748,8.333100476,0,7.512939103,7.623042703,7.945853821,0,0,9.401587476,7.0305744,7.716159483,0,7.246767814,8.021980526,7.486377062,0,7.757554579,8.411850674,8.063605769,0,6.849095905,0,7.759838112,7.639831986,8.91473125,9.286802998,9.284935349,7.288988009,7.680162119,7.914247349,0,0,8.879646295,8.446519734,8.67644134,24
s4t24,7.554490723,7.149891944,0,7.881765237,0,9.207154938,7.187344851,0,6.789442248,7.008701764,7.397323951,0,0,9.533975914,7.338746834,7.905419064,0,7.012385224,7.604959962,7.783250082,0,7.298925508,7.95320439,8.209548905,0,6.929942005,0,7.648460453,6.815392394,9.111910419,8.70850885,8.263499836,6.923205919,7.426165729,7.48309386,0,0,8.776048105,8.568798414,7.800457046,24
s5t24,7.143877345,6.629705809,0,7.19073473,0,8.297074847,7.16063106,0,6.70878447,6.755273193,7.294488587,0,0,8.784086174,7.124168648,7.591215624,0,7.139397232,7.456498711,6.959469299,0,7.013035244,7.521319255,7.139737847,0,6.943453079,0,7.062324404,6.588567143,9.209390337,7.682859165,7.961237999,0,6.756538674,7.417372662,0,0,7.915109981,7.695860388,7.50423202,24
s6t24,7.347875973,6.814875143,0,7.245895323,0,8.317730402,7.516296933,0,6.812894518,6.928087699,7.222591557,0,0,9.021077998,7.048048541,6.761561707,0,7.139397232,7.54224653,7.23488657,0,7.111975983,7.704064082,7.209983941,0,6.943453079,0,7.122680103,6.793511597,8.92896434,7.838500606,8.22391355,0,6.988547033,7.525808897,0,0,8.115155376,7.91019184,7.760004809,24
s7t24,7.334948079,6.909083115,0,7.28575575,0,8.666699374,7.331974834,0,6.97780319,7.01983558,7.073416959,0,0,9.007963942,7.173159376,7.121744205,0,7.056595055,7.714797562,7.187287651,0,7.227049037,7.898957713,7.505230686,0,6.758034235,0,7.312790714,6.50745503,9.061992346,8.416788491,8.039534572,0,6.97981263,7.572764165,0,0,7.9621425,7.764687015,7.692782353,24
