,辛酸乙酯,丁酸乙酯,庚酸乙酯,己酸己酯,乙酸乙酯,己酸丁酯,戊酸乙酯,癸酸乙酯,己酸丙酯,己基丁酸酯,己酸戊酯,壬酸乙酯,十二酸乙酯,乙酸己酯,辛酸己酯,丁酸丁酯,己酸2-甲基丙酯,丁酸3-甲基丁酯,异戊醇,苯丙酸乙酯,异戊醛,正己醇,苯乙酸乙酯,3-甲基丁酸乙酯,苯乙醛，二乙基乙醛,4-甲基戊酸乙酯,辛酸丁酯,2-甲基丙酸乙酯,2-己烯酸乙酯,十四酸乙酯,丙酸乙酯,辛酸丙酯,2-甲基丁酸乙酯,十六酸乙酯,戊酸丁酯,辛酸3-甲基丁酯,十一烷酸乙酯,壬醛,戊酸3-甲基丁酯,庚酸3-甲基丁酯,丁酸辛酯,苯甲酸乙酯,己酸甲酯,己酸,"2,4-二叔丁基苯酚",丁酸庚酯,己酸1-甲基己基酯,乙酸丁酯,苯甲醛,二十一烷,1-丁醇,乙基(E)- 4 - 庚烯酸,2-甲基丁醛,2-壬酮,己酸异戊酯,己酸-2-苯乙酯,2-羟基-4-甲基戊酸乙酯,十五酸乙酯,植物酮,9-十六碳烯酸乙酯,反式-4-癸酸乙酯,L(-)-乳酸乙酯,己酸糠酯,2-十五烷酮,丁酸,十三酸乙酯,己醛,异丁醇,亚油酸乙酯,乙酸辛酯,反油酸乙酯,3-甲基丁酸辛酯,(Z)-己-3-烯酸乙酯,对甲酚,甲酸乙酯,糠醛,"2,6-二叔丁基-4-甲基苯酚",辛酸辛酯,异丁醛,3-己烯酸乙酯,乙酸2-苯乙酯,(Z)-4-癸烯酸乙酯,正辛酸异丁酯,庚酸,乙酸-3-甲基-1-丁醇,(3Z)-3-癸烯-1-醇乙酸酯,3-己烯酸乙酯.1,十一醇,1-亚甲基-1H-茚,乙酸正丙酯,乙醛,正丁酸戊酯,辛酸,乳酸乙酯,S-甲基丁酸酯,醋酸,2-甲基-2-苯乙酯丙酸,丁二酸二乙酯,Group
s4t2,9.922989162,9.799387414,9.706446475,10.25378347,9.394441461,9.532993213,9.212809089,8.557785074,9.0435989,8.925274669,9.18633432,8.322289329,7.758548895,8.164363128,8.661447851,8.076635854,8.297659847,7.872790116,7.328837157,7.595867584,7.69230718,8.079431293,7.258421578,7.249024078,7.021239011,7.504117068,8.400954322,7.09661718,7.965838935,7.444350203,7.103005491,8.097829247,6.946703054,0,8.069159783,7.867139812,7.078641623,7.190629735,7.665969486,7.752087048,7.6403841,6.884075327,7.617381712,0,0,7.451224308,7.659021921,7.168941494,0,7.175919027,7.043557706,7.141708673,7.035227524,6.940696727,9.250798283,0,0,0,0,0,7.088333205,0,7.151733238,0,0,0,0,0,0,7.07518858,0,7.174891005,0,0,0,7.00192346,6.754013323,0,0,7.210002574,0,0,0,0,0,0,0,0,6.772496941,0,0,7.65406843,0,7.477329808,0,0,0,0,2
s5t2,9.849946289,9.465558646,9.636076747,9.935628018,9.027180914,9.396605941,8.790893709,8.870390079,8.587194308,8.827780229,9.019187329,8.487907912,8.072122687,7.851524131,8.210639161,7.864073323,8.129426468,7.795373175,7.243027835,7.492068238,7.4755805,7.598356371,7.214312512,6.872576089,7.099959459,7.163522807,8.206870286,6.700992217,7.878099271,7.548951626,6.70540698,7.761110127,7.039426319,0,7.780231565,7.648183301,7.482076302,6.868232546,7.63133245,7.548913825,7.607277716,6.690486461,7.039222772,0,0,7.412794099,7.392385502,6.832070915,0,7.244110231,6.914754155,7.050158607,6.801755483,6.893946147,9.159849386,0,0,0,0,0,7.082779174,0,7.123577821,0,0,0,0,0,0,7.150249525,0,6.995264647,0,0,0,6.843456581,6.7910222,0,0,6.749470968,0,0,0,0,0,0,0,0,7.031311028,0,0,7.677530895,0,7.581438503,0,0,0,0,2
s6t2,9.902512624,9.458767184,9.637764422,9.953434514,9.015830863,9.41070909,8.801523325,8.909867082,8.57440941,8.852347928,9.024593801,8.530858177,8.067240764,7.885003213,8.139723227,7.865637348,8.161723197,7.812662751,7.256907651,7.558861085,7.476809348,7.633433971,7.252237808,6.913462412,7.237919438,7.22784066,8.196678962,6.716711188,7.943461291,7.643549112,6.720103159,7.740309902,7.159139716,0,7.924547256,7.645948528,7.497030233,6.992982593,7.655172707,7.599419819,7.604248447,6.884075327,7.061416234,0,0,7.442699845,7.421738465,6.884280085,0,7.274242289,6.711237804,7.201477787,6.813784948,6.818561331,9.214876917,0,0,0,0,0,7.122296934,0,7.104023573,0,0,0,0,0,0,7.345083552,0,6.963697073,0,0,0,6.848907775,6.901082856,0,0,0,0,0,0,0,0,0,0,0,7.000365701,0,0,7.364668304,0,7.564346165,0,0,0,0,2
s7t2,9.930339598,9.24707701,9.542758997,9.927262319,8.898631263,9.382771478,8.95579098,8.95790578,8.543455107,8.741116643,8.963185523,8.572183357,8.214205089,7.916631665,8.196523345,7.886650627,8.170183021,7.780258275,7.796756329,7.707507543,7.545088815,7.961584339,7.390958073,7.328080614,7.562476685,7.350933442,8.145798778,7.07919767,7.711692386,7.685600803,6.978817453,7.692730348,7.097222987,0,7.853371294,7.711540417,7.573962661,7.48987447,7.606824995,7.576036013,7.50111883,6.941521273,7.106915688,0,0,7.339906339,7.496454199,6.991002229,6.848838718,7.344380695,7.266909679,6.980452469,6.928209413,6.963779172,9.18237593,0,0,0,0,0,7.355311053,0,7.272012996,0,0,0,0,0,0,7.207544231,0,6.945146049,0,0,0,7.304995508,6.933462885,0,0,0,0,0,0,0,0,0,0,0,7.079192577,0,0,7.494166025,0,7.653272345,0,0,0,0,2
s1t4,9.605802996,9.613876026,9.441124981,9.820522111,9.383295315,9.162819104,8.893082779,8.762221895,8.426753752,8.570901372,8.733695248,8.21434739,8.41785407,7.84795975,8.584967851,7.873711343,7.910744322,7.676935002,7.33555467,7.651593821,7.698923848,7.673480196,7.445794142,7.100990756,7.368473922,7.251138384,8.069467654,7.049296689,7.885184875,8.045605594,7.083001259,7.468423369,6.779743214,8.674813323,7.627848311,7.760956138,7.606123283,6.755239902,7.382712985,7.381809711,7.459055906,6.8954768,7.148192677,0,7.510067255,7.15094343,7.363767837,6.907247021,7.022170922,7.220982564,7.118694906,7.144037419,6.702055851,6.713256502,8.910509964,7.056735609,6.861426848,7.078920572,6.664210867,6.840742489,7.086946998,7.581783792,7.720658102,6.807139121,0,7.021063347,6.850986249,0,0,6.816926596,0,7.09681131,7.081557914,6.762064313,6.512717331,7.536834054,6.826234712,7.216942795,6.597967394,0,6.781931298,6.906674379,6.684904763,0,0,6.74723107,6.704877508,0,0,6.305235838,0,7.172246684,7.24699335,0,0,0,0,0,4
s2t4,9.673834732,9.558360543,9.460897917,9.899745444,9.328073102,9.250765513,8.868574583,8.805889705,8.451908806,8.611306342,8.830296403,8.313037903,8.455118687,7.841600186,8.666997965,7.822562037,7.943574337,7.614440225,7.263334938,7.660570192,7.683345208,7.666873453,7.550323862,7.282389687,7.450872582,7.221802943,8.192388528,7.161319196,8.00618139,7.942943859,7.058793576,7.559802683,6.966728228,8.379684345,7.743965145,7.744849451,7.646532327,6.838582278,7.363481251,7.418964067,7.550175019,6.935680592,7.136298587,0,7.48356928,7.256405596,7.396231057,6.917594317,7.219248509,7.398378305,7.184097429,7.246996302,0,7.112966254,8.970069248,7.220175441,6.667904023,7.012274628,6.732385545,7.258336059,6.934141386,7.621190422,7.774506827,6.899513387,0,6.846420712,6.936060724,0,7.80273232,6.924932524,0,7.1587372,6.987982689,6.723168604,6.484571826,7.586171014,6.849350606,7.208175478,6.49257485,0,6.819942897,6.738122921,6.74645534,0,0,7.002534174,6.870353932,0,0,6.253103897,0,0,7.401367045,0,0,0,0,0,4
s3t4,9.706311252,9.280314245,9.337475182,9.781352551,9.199196418,9.138453628,8.804457847,8.89463534,8.312147342,8.44328616,8.745060739,8.401731496,8.397750416,7.783749081,8.348245637,7.638549889,7.912661664,7.524119287,7.80606514,7.961495809,7.698387482,7.973676578,7.75457408,7.389210038,7.671766193,7.214735931,8.012873502,7.292731622,7.63269447,8.149246209,7.194428883,7.54804832,6.995789734,8.75837667,7.560505213,7.667196644,7.643869172,7.478517528,7.351004867,7.433478593,7.349837996,7.235404373,6.927312955,0,6.964465248,7.136033779,7.36404166,6.95023905,7.256074597,7.459212072,7.383339824,7.161677283,6.937238294,6.8467092,8.946935606,7.280786961,7.192566171,7.187108322,6.83500239,7.389546101,6.955765541,7.849092733,7.740242086,7.021364101,0,7.19552329,7.053275377,0,7.68823109,6.82149167,0,6.998426828,6.802683185,6.750791769,6.458986044,8.124472481,6.959779238,6.73889954,6.634200245,0,6.961915159,7.054589067,6.700947119,0,0,7.298708824,6.559759479,0,0,6.312939301,0,0,7.364756483,0,0,0,0,0,4
s4t4,10.02550418,9.980104776,9.772981577,10.35784082,9.727874996,9.624922784,9.302664606,8.646183477,9.099759201,9.014901839,9.280402084,8.433204725,7.905420821,8.200131715,8.772894194,8.19134682,8.385399277,7.941932211,7.43216475,7.727945854,7.895933215,8.027302244,7.351182317,7.405307292,7.230904631,7.577974028,8.488188728,7.350253631,8.038260276,7.604205411,7.390932975,8.185912075,7.06756455,8.324411726,8.128015233,7.984188778,7.452176033,6.732963582,7.767762934,7.852045838,7.726174617,6.962634854,7.693538975,0,6.651984496,7.550809317,7.753548699,7.291698279,6.99428506,7.356674688,7.38452996,7.392668116,6.992122538,6.860855448,9.344177956,7.56957786,6.68564181,6.86257945,6.194240406,6.505088428,6.98785775,7.502682637,7.577330995,0,0,7.102154303,7.136477316,0,6.591538314,7.090551637,0,7.257913288,6.846453851,7.223923511,6.674982101,7.010747104,7.019483208,7.100316442,6.777282486,0,6.666432271,6.763789988,7.086383133,0,0,6.591538314,6.846453851,0,0,6.69725222,0,0,8.061285169,0,0,0,0,0,4
s5t4,9.408142771,9.519501423,9.305223917,9.674465978,9.332852165,8.96528095,8.703868084,8.667460548,8.245639711,8.364741157,8.580006597,8.07555258,8.454696724,7.705092981,8.549225755,7.712321508,7.609558147,7.462060043,7.345846289,7.632708845,7.6716425,7.60938744,7.434029794,6.841399926,7.355717445,6.98316388,7.936901621,6.816981277,7.760464876,8.07386633,6.894210172,7.326128324,6.516385887,8.620835351,7.59040266,7.686655961,7.553621738,6.604180437,7.149232664,7.183127487,7.358898672,6.882852666,6.941472927,0,7.306075642,7.01804654,7.179166189,6.811420552,6.973613178,7.122823352,7.127839911,6.951645244,0,6.744061319,8.657528469,7.164749129,6.760609965,7.097689288,6.678684646,7.235501083,6.848208575,7.541099264,7.620549839,6.819518095,0,7.087279555,6.730574251,0,0,6.676822046,0,7.03533621,6.609448613,6.694286915,6.536113945,7.390890728,7.099833928,7.215445156,6.631190766,0,6.758649228,6.582568465,6.468051013,0,0,6.819594469,6.58441528,0,0,6.38991645,0,7.284961323,7.253460738,0,0,0,0,0,4
s6t4,9.770453209,9.537451584,9.532788498,9.926946992,9.311480847,9.291941456,8.788122216,8.917165473,8.475622584,8.716196249,8.93642608,8.455186479,8.472474432,7.831526143,8.515864304,7.832949152,8.027227399,7.712135451,7.243722603,7.636296681,7.670815929,7.5447251,7.359994386,6.960638841,7.353221279,7.158951156,8.175398495,6.893355812,7.94419673,8.125322674,6.934847163,7.66318361,6.640460226,8.722882024,7.661683065,7.818592871,7.687655488,6.872160254,7.532701976,7.554285332,7.59287871,6.859056907,7.028118522,0,6.992987678,7.347769229,7.433237724,6.860532654,6.971664496,7.43619358,7.067397738,7.126646542,0,6.741175967,9.104407393,7.293928307,6.882118593,7.315298335,6.742880832,6.845817521,6.739625384,7.522941919,7.62072705,6.932000941,0,6.883943976,6.806336026,0,7.64667905,7.006257617,0,7.105580199,6.816211024,6.615425726,6.530594329,7.346546326,6.864845988,7.199887283,6.470879648,0,6.682129034,7.189002856,6.835210521,0,0,6.983705322,6.664370761,0,0,6.261733091,0,7.247838581,7.21860195,0,0,0,0,0,4
