,反油酸乙酯,己酸-2-苯乙酯,己酸,亚油酸乙酯,2-甲基-2-苯乙酯丙酸,9-十六碳烯酸乙酯,"2,6-二叔丁基-4-甲基苯酚",十一醇,十二酸乙酯,十五酸乙酯,十六酸乙酯,十四酸乙酯,"2,4-二叔丁基苯酚",异丁醛,Group
s3t15,7.152748357,7.34723361,8.366819899,7.412577963,0,7.338001033,7.390519065,7.702318435,8.49142617,6.990599253,8.36429361,8.159747835,6.990271366,6.59847796,15
s4t15,7.185321088,7.752463203,8.74440769,7.239009978,0,7.05565998,7.407500192,0,7.98020856,6.926586998,8.241675503,7.694477771,7.052396438,6.620955782,15
s5t15,7.612697875,7.353567198,8.448711697,7.764149569,0,7.599385021,7.815056973,7.819341081,8.436646353,7.224675571,8.750689453,8.147210525,7.223271174,6.399604291,15
s6t15,7.234034458,7.303747727,8.448711697,7.431061161,0,7.191423644,7.360567329,6.278947975,8.253041218,6.554168892,8.3780009,7.935527765,7.842516821,6.387320474,15
s7t15,7.072570335,7.175362251,8.182327277,7.342619168,0,7.301100891,7.17059958,6.760780898,8.245452353,6.996001316,8.217386897,7.941515829,7.651086807,6.6822262,15
s1t17,8.07105219,7.778262302,8.989260137,8.131142527,7.441410267,7.969724601,7.078773895,6.579348427,8.819963737,7.67414193,9.190633306,8.62378351,7.324504916,0,17
s2t17,8.423402333,7.711112335,8.838376136,8.45444431,7.306251364,8.063826747,7.090077648,6.553607554,8.693665487,7.68098864,9.370219415,8.555456418,7.141350269,0,17
s3t17,8.184633503,7.775651953,8.87616898,8.199768494,7.398319033,7.983279237,7.231867244,6.951130177,8.7139461,7.66006827,9.246875129,8.630202408,7.04160002,0,17
s4t17,7.806429765,8.059874264,9.214402388,7.730468956,7.527396105,7.754538129,7.273525456,7.110490148,8.463036164,7.498003476,8.720363299,8.247489119,8.705389016,0,17
s5t17,7.560891682,7.558064734,8.406902642,7.747692657,7.213179099,7.721462878,7.329718935,7.466969544,8.378600363,7.491896871,8.599261913,8.146147241,8.81456021,0,17
s6t17,7.657069303,7.626015124,8.412161762,7.726153511,7.145898217,7.500449559,7.15787701,7.425779787,8.54015409,7.518458476,8.664623133,8.234563969,8.580207262,0,17
s7t17,7.571255745,7.614933999,9.021801673,7.720725439,7.316058137,7.748977013,7.296958252,7.570263669,8.483271648,7.604976795,8.587191412,8.232246677,8.802529705,0,17
s1t21,7.870673966,7.634284007,8.784291834,7.99957042,0,7.695247572,0,7.08101162,8.663352708,7.524935187,9.115502398,8.493287909,7.400495333,0,21
s2t21,7.886335709,7.586917852,8.577525593,7.922170516,0,7.74724703,0,6.868140619,8.625597345,7.461361176,9.076057311,8.42857503,7.233824906,0,21
s3t21,8.132126763,7.684469359,8.699306264,8.14906606,0,8.006070123,0,7.086103475,8.708849868,7.824776365,9.261606982,8.681485934,7.416606432,0,21
s4t21,6.995815673,7.696441035,8.994972645,6.931672373,0,6.799027276,0,7.068559348,7.88556428,6.75272684,7.993811917,7.650247658,8.957841537,0,21
s5t21,7.038215853,7.249463251,8.497383953,6.227167916,0,6.518923927,0,7.133045914,7.832387752,7.120015166,8.07871836,7.688208009,9.197598172,0,21
s6t21,7.51366008,7.439091775,8.604604803,7.78756739,0,7.564574334,0,7.339103546,8.047808763,7.19906134,8.591826637,7.958090547,8.984650494,0,21
s7t21,7.333525949,7.574076809,8.78098373,6.35533746,0,7.166475259,0,7.457303989,7.709669618,7.182868568,8.22411152,7.718226445,8.875281499,0,21
s1t24,8.041922001,7.711272067,9.238100168,8.017385946,0,7.683800458,0,7.016799377,8.789758847,7.395919502,9.035092885,8.40879518,7.007953941,0,24
s2t24,8.324799312,7.855682154,9.194178671,8.346884554,0,7.418583855,0,7.028549691,8.882107744,7.600317758,9.290338431,8.537700905,6.6244367,0,24
s3t24,8.31127585,7.84026295,9.103809748,8.333100476,0,7.945853821,0,7.0305744,8.956885708,7.639831986,9.284935349,8.67644134,8.91473125,0,24
s4t24,7.554490723,7.881765237,9.207154938,7.187344851,0,7.397323951,0,7.338746834,8.635358502,6.815392394,8.263499836,7.800457046,9.111910419,0,24
s5t24,7.143877345,7.19073473,8.297074847,7.16063106,0,7.294488587,0,7.124168648,7.827324878,6.588567143,7.961237999,7.50423202,9.209390337,0,24
s6t24,7.347875973,7.245895323,8.317730402,7.516296933,0,7.222591557,0,7.048048541,8.108062922,6.793511597,8.22391355,7.760004809,8.92896434,0,24
s7t24,7.334948079,7.28575575,8.666699374,7.331974834,0,7.073416959,0,7.173159376,8.048413649,6.50745503,8.039534572,7.692782353,9.061992346,0,24
